family,L,PCR,order_churn,fill,cover_days,orders_per_year
Fixed order quantity (LN),7,0.0745369844335871,0.5097125097125097,1.0,10.307944011406434,44.19282511210762
Fixed order quantity (LN),28,0.03272355414157482,0.6037735849056604,1.0,14.074760154904192,14.185351270553065
Economic order quantity (LN),10,0.18202476991250993,0.6890322580645162,1.0,8.980584054760174,98.75186846038864
Economic order quantity (LN),100,0.1861152141802068,0.8206412825651302,1.0,9.267023508280674,83.47533632286995
Economic order quantity (LN),1000,0.12316782183842745,0.9635555555555556,1.0,10.50888280369194,43.101644245142005
Floating window (both),7,0.03363254175661857,0.7935656836461126,1.0,2.808516362676217,14.185351270553065
Floating window (both),14,0.019997727530962392,0.9263157894736842,1.0,5.525943208815192,7.0926756352765326
Floating window (both),28,0.012725826610612431,0.9824561403508771,1.0,12.640540669229864,3.819133034379671
Floating window (both),56,0.006476536757186684,0.9827586206896551,1.0,26.70497016230375,1.6367713004484306
Fixed order quantity (LN),7,0.0627201454380184,0.4946236559139785,1.0,3.0472212889045154,37.10014947683109
Fixed order quantity (LN),28,0.029882967844563117,0.6261904761904762,1.0,6.301331901759518,11.457399103139014
Economic order quantity (LN),10,0.10351096466310647,0.5262853841709995,1.0,0.08041397763286122,69.2899850523169
Economic order quantity (LN),100,0.1072605385751619,0.7334887334887334,1.0,0.6232863471306657,50.73991031390135
Economic order quantity (LN),1000,0.06999204635836836,0.9625,1.0,2.0637273831601988,24.55156950672646
Floating window (both),7,0.09203499602317919,0.8376421923474664,1.0,2.262725605937442,39.828101644245145
Floating window (both),14,0.05408476309510283,0.9118773946360154,1.0,5.563448922169765,21.278026905829595
Floating window (both),28,0.03510964663106465,0.9903846153846154,1.0,14.48373539335099,12.002989536621824
Floating window (both),56,0.019656857175320987,0.9664804469273743,1.0,30.303690991149733,6.547085201793722
Fixed order quantity (LN),7,0.10351096466310647,0.5672478206724783,1.0,3.852042162156353,49.10313901345292
Fixed order quantity (LN),28,0.03238268378593342,0.6305309734513275,1.0,14.995539920003887,13.094170403587444
Economic order quantity (LN),10,0.3037154868764913,0.7765833817547937,1.0,0.0,142.94469357249628
Economic order quantity (LN),100,0.24758550164754006,0.6935073201782305,1.0,0.6282605811981803,127.12257100149476
Economic order quantity (LN),1000,0.16645835700488582,0.8873410054512417,1.0,2.9920836380607123,58.9237668161435
Floating window (both),7,0.04317691171457789,0.8296943231441049,1.0,11.776733298318728,19.095665171898357
Floating window (both),14,0.025110782865583457,0.91701244813278,1.0,15.940886432578282,9.820627802690582
Floating window (both),28,0.01624815361890694,1.0,1.0,25.028920825312888,4.910313901345291
Floating window (both),56,0.009317123054198387,1.0,1.0,37.30099585925905,2.7279521674140508
Fixed order quantity (LN),7,0.07965003976820816,0.5413127413127413,1.0,10.219107516397589,43.64723467862481
Fixed order quantity (LN),28,0.0338597886603795,0.6260504201680672,1.0,13.703412449133019,13.639760837070254
Economic order quantity (LN),10,0.19997727530962392,0.7102502017756255,1.0,8.96270160313766,105.29895366218236
Economic order quantity (LN),100,0.20009089876150438,0.824438202247191,1.0,9.193937222055684,89.47683109118087
Economic order quantity (LN),1000,0.1358936484490399,0.9606425702811245,1.0,10.146806732852008,48.5575485799701
Floating window (both),7,0.03613225769798886,0.905982905982906,1.0,13.584985874482834,14.730941704035875
Floating window (both),14,0.020224974434723327,0.978021978021978,1.0,16.93743905780155,7.638266068759342
Floating window (both),28,0.012044085899329622,0.9906542056074766,1.0,23.700425212891854,3.819133034379671
Floating window (both),56,0.006476536757186684,0.9827586206896551,1.0,35.962411458407104,2.1823617339312404
